PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,CabinDeck,CabinNum,CabinSide
0020_02,Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,0,E,0,S
0020_03,Earth,True,55 Cancri e,29.0,False,0.0,0.0,,0.0,0.0,0,E,0,S
0020_04,Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,1,E,0,S
0020_05,Earth,True,PSO J318.5-22,1.0,False,,0.0,0.0,0.0,0.0,0,E,0,S
0020_06,Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,0,E,0,S
0022_01,Mars,False,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,0,D,0,P
0026_01,Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,0,C,0,P
0028_01,Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,0,F,8,P
0030_01,Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,0,G,4,S
0031_01,Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,1,F,9,P
0031_02,Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,F,9,P
0031_03,Mars,False,TRAPPIST-1e,20.0,False,,0.0,1750.0,990.0,0.0,1,F,9,P
0034_01,Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,1,D,1,S
0036_01,Earth,False,55 Cancri e,15.0,,0.0,492.0,48.0,20.0,401.0,0,F,8,S
0038_01,Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,0,F,10,S
0039_01,Earth,True,55 Cancri e,30.0,False,0.0,0.0,,0.0,0.0,0,G,1,P
0041_01,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,1,G,2,P
0043_01,Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,0,B,3,P
0044_01,Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,0,G,3,P
0044_02,Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,1,G,3,P
0044_03,Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,1,G,3,P
0045_01,Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,0,F,10,P
0045_02,Mars,True,,19.0,False,0.0,0.0,0.0,0.0,0.0,1,F,10,P
0050_01,Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,,0.0,0,E,1,S
0052_01,Earth,False,TRAPPIST-1e,,False,4.0,0.0,2.0,4683.0,0.0,0,G,6,S
0053_01,Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,1,F,11,S
0056_01,Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,A,1,S
0056_02,Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,1,A,1,S
0058_01,Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,0,G,7,S
0061_01,Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,0,F,12,S
0062_01,Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,0,F,13,S
0064_02,,True,TRAPPIST-1e,33.0,False,0.0,0.0,,0.0,0.0,1,E,3,S
0066_01,Earth,False,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,0,G,6,P
0067_01,Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,1,G,10,S
0067_02,Earth,False,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,1,G,10,S
0067_03,Earth,False,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,0,F,15,S
0068_01,Mars,False,TRAPPIST-1e,,False,793.0,0.0,2.0,253.0,0.0,0,E,4,S
0069_01,Earth,False,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,1,F,16,S
0070_01,Earth,False,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,0,F,13,P
0071_01,Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,0,F,14,P
0076_01,Mars,False,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,1,F,18,S
0078_01,Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,0,C,4,S
0081_01,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0,G,13,S
0082_02,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,F,16,P
0084_01,Earth,False,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,1,G,14,S
0085_01,Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,1,C,5,S
0086_01,Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,0,F,17,P
0088_01,Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,1,E,5,S
0091_01,Earth,True,TRAPPIST-1e,26.0,False,,0.0,0.0,0.0,0.0,1,G,16,S
0091_02,Earth,False,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,0,F,20,S
0092_03,Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,1,G,9,P
0098_02,Earth,False,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,1,G,11,P
0099_01,Earth,False,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,0,F,19,P
0099_02,Earth,,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,G,12,P
0101_01,Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,1,,,
0102_01,Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,0,F,23,S
0103_01,Earth,False,TRAPPIST-1e,24.0,False,0.0,,0.0,0.0,17.0,1,F,24,S
0103_02,Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,1,G,18,S
0103_03,Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,0,G,18,S
0105_01,Earth,,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,0,F,21,P
0107_01,Mars,False,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,0,D,2,S
0108_01,Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,0,G,19,S
0108_03,Earth,False,TRAPPIST-1e,0.0,,0.0,0.0,0.0,0.0,0.0,1,G,19,S
0110_02,Europa,,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,0,B,5,P
0110_04,Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,1,B,5,P
0112_01,Europa,False,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,1,B,1,S
0113_01,Earth,False,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,1,F,23,P
0114_01,Earth,False,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,0,G,20,S
0115_01,Mars,,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,,1,F,24,P
0119_01,,False,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,0,A,0,P
0119_02,Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,1,A,0,P
0120_01,Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,,1,F,25,P
0123_01,Earth,False,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,0,F,27,P
0126_01,Mars,True,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,1,F,27,S
0127_01,Mars,False,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,0,E,7,S
0128_01,Mars,False,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,0,D,3,S
0128_02,Mars,False,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,0,E,8,S
0129_01,Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,,0.0,0.0,1,G,22,S
0133_01,Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,1,F,29,S
0133_02,Mars,False,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,0,D,5,S
0134_01,Earth,False,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,1,G,17,P
0136_01,Earth,False,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,0,G,23,S
0138_01,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,1,G,18,P
0138_02,Earth,False,,34.0,False,0.0,22.0,0.0,564.0,207.0,0,E,5,P
0140_01,Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,1,G,19,P
0140_02,Earth,False,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,0,F,29,P
0141_01,Mars,False,TRAPPIST-1e,31.0,False,,0.0,97.0,0.0,0.0,0,F,30,P
0144_01,Earth,False,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,1,F,31,S
0146_01,Earth,False,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,0,G,25,S
0147_01,Earth,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,1,G,26,S
0148_01,Mars,False,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,0,F,31,P
0149_01,Earth,True,55 Cancri e,,False,0.0,0.0,0.0,0.0,0.0,1,G,27,S
0151_01,Earth,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,0,G,20,P
0152_01,Earth,False,,41.0,False,0.0,0.0,0.0,0.0,607.0,0,F,32,P
0163_01,Europa,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,1,B,8,P
0163_02,Europa,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,1,B,8,P
0164_01,Earth,False,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,,135.0,1,G,28,S
0164_02,Earth,True,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,0,G,28,S
0167_01,Mars,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,1,F,35,S
0167_02,Mars,False,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,0,F,35,S
0169_01,Earth,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,0,G,23,P
0170_01,Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,0,E,10,S
0172_01,Earth,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,1,G,24,P
0174_01,Earth,False,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,0,F,38,P
0177_01,Europa,False,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,0,B,2,S
0178_01,Mars,False,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,0,D,6,S
0179_01,Earth,False,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,1,G,26,P
0179_02,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0,G,26,P
0179_03,Earth,False,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,1,G,26,P
0181_01,Earth,False,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,0,G,27,P
0182_01,Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,1,C,3,P
0183_01,Earth,False,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,1,F,36,S
0186_01,Earth,False,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,0,G,28,P
0188_01,Earth,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,1,G,31,S
0189_01,Earth,False,55 Cancri e,49.0,False,84.0,3.0,401.0,202.0,98.0,0,E,8,P
0190_01,Earth,True,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,0,G,32,S
0192_01,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,1,G,29,P
0192_02,Earth,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,0,G,29,P
0192_03,Earth,False,TRAPPIST-1e,39.0,False,0.0,0.0,10.0,898.0,0.0,0,G,29,P
0193_01,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,F,41,P
0193_02,Mars,False,TRAPPIST-1e,23.0,False,,0.0,8.0,1072.0,0.0,0,F,41,P
0193_03,Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,1,F,41,P
0195_01,Mars,False,TRAPPIST-1e,39.0,False,406.0,0.0,867.0,0.0,0.0,1,F,42,P
0196_01,Mars,False,PSO J318.5-22,25.0,False,1052.0,0.0,719.0,0.0,7.0,0,D,5,P
0197_01,Europa,False,TRAPPIST-1e,36.0,False,0.0,972.0,0.0,795.0,575.0,0,C,5,P
0198_01,Earth,,PSO J318.5-22,52.0,False,0.0,0.0,0.0,0.0,0.0,1,G,30,P
0199_01,Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,0,G,33,S
0200_01,Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,1,G,31,P
0201_01,Europa,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,1,B,3,S
0201_02,Europa,True,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,1,B,3,S
0202_01,Europa,True,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,1,B,9,P
0202_02,Europa,False,55 Cancri e,,False,0.0,2433.0,,878.0,443.0,1,A,2,P
0205_01,Earth,False,TRAPPIST-1e,29.0,False,0.0,2.0,66.0,0.0,705.0,0,G,34,S
0206_01,Europa,False,55 Cancri e,,False,2.0,1720.0,12.0,1125.0,122.0,1,C,9,S
0207_01,Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,0,G,32,P
0210_01,,True,55 Cancri e,24.0,False,0.0,0.0,,0.0,0.0,1,D,6,P
0211_01,Mars,False,TRAPPIST-1e,29.0,False,902.0,1.0,137.0,0.0,0.0,1,F,44,P
0211_02,Mars,True,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,1,F,44,P
0211_03,Mars,False,TRAPPIST-1e,17.0,False,848.0,0.0,307.0,182.0,0.0,0,F,44,P
0212_01,Earth,False,TRAPPIST-1e,13.0,False,192.0,0.0,0.0,51.0,739.0,0,E,9,P
0212_02,Earth,False,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,0,F,45,P
0216_01,Earth,False,55 Cancri e,21.0,False,0.0,56.0,0.0,0.0,1918.0,0,F,40,S
0217_01,Earth,False,TRAPPIST-1e,38.0,False,1517.0,0.0,0.0,27.0,0.0,0,F,47,P
0219_01,Earth,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,1,G,36,P
0220_01,Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,G,37,P
0220_02,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,1,G,37,P
0220_03,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0,G,37,P
0220_04,Earth,False,TRAPPIST-1e,25.0,False,122.0,84.0,,0.0,0.0,0,E,10,P
0220_05,Earth,False,TRAPPIST-1e,16.0,False,0.0,3.0,0.0,0.0,1099.0,0,F,48,P
0220_06,Earth,False,55 Cancri e,1.0,False,0.0,0.0,0.0,0.0,0.0,0,G,37,P
0220_07,Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,1,G,37,P
0221_03,Mars,False,TRAPPIST-1e,33.0,False,1933.0,12.0,188.0,1.0,0.0,0,E,13,S
0221_04,Mars,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,1,E,13,S
0221_05,Mars,False,TRAPPIST-1e,41.0,False,1230.0,0.0,301.0,43.0,1023.0,0,E,13,S
0221_06,Mars,False,TRAPPIST-1e,16.0,False,915.0,0.0,221.0,234.0,0.0,0,E,13,S
0221_07,Mars,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,0,E,13,S
0222_02,Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,1,F,41,S
0222_03,Mars,True,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,1,E,14,S
0223_01,Earth,False,TRAPPIST-1e,21.0,False,0.0,2.0,665.0,0.0,9.0,0,G,35,S
0224_01,Mars,False,TRAPPIST-1e,32.0,True,181.0,0.0,5.0,1634.0,0.0,0,F,42,S
0229_01,Earth,False,TRAPPIST-1e,24.0,False,4.0,7.0,0.0,713.0,79.0,0,F,43,S
0231_01,Mars,False,TRAPPIST-1e,30.0,False,85.0,0.0,1.0,1720.0,0.0,0,F,44,S
0233_01,Mars,False,TRAPPIST-1e,32.0,False,56.0,0.0,256.0,1438.0,0.0,0,F,45,S
0239_01,Mars,False,TRAPPIST-1e,37.0,False,637.0,0.0,0.0,92.0,319.0,0,,,
0240_01,Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,1,F,52,P
0241_01,Europa,,55 Cancri e,33.0,False,0.0,1249.0,0.0,4812.0,1116.0,0,E,11,P
0242_01,,False,TRAPPIST-1e,18.0,False,313.0,1.0,691.0,283.0,0.0,0,F,46,S
0243_01,Earth,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,0,G,37,S
0244_01,Mars,True,TRAPPIST-1e,43.0,False,0.0,0.0,0.0,0.0,0.0,1,,,
0245_01,Europa,False,55 Cancri e,46.0,False,0.0,3571.0,0.0,0.0,7.0,1,C,6,P
0245_02,Europa,False,TRAPPIST-1e,33.0,False,0.0,86.0,796.0,584.0,10912.0,0,C,6,P
0246_01,Mars,False,TRAPPIST-1e,21.0,False,2947.0,0.0,287.0,27.0,0.0,0,D,8,P
0248_01,Europa,False,TRAPPIST-1e,33.0,False,0.0,1.0,0.0,8620.0,1063.0,0,C,10,S
0250_01,Earth,True,PSO J318.5-22,47.0,False,,0.0,0.0,0.0,0.0,0,G,38,S
0251_01,,True,55 Cancri e,54.0,False,0.0,0.0,0.0,0.0,0.0,1,C,11,S
0252_01,Earth,False,TRAPPIST-1e,30.0,False,335.0,695.0,541.0,0.0,0.0,0,F,53,P
0253_01,Earth,False,TRAPPIST-1e,29.0,False,272.0,615.0,0.0,0.0,1.0,0,G,42,P
0254_01,Earth,False,TRAPPIST-1e,21.0,False,702.0,172.0,408.0,2.0,6.0,1,F,54,P
0255_01,Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,1,A,3,S
0257_01,Mars,False,55 Cancri e,21.0,False,1664.0,0.0,,0.0,0.0,0,F,49,S
0257_02,Mars,True,TRAPPIST-1e,60.0,False,0.0,0.0,0.0,0.0,0.0,1,F,49,S
0261_01,Earth,False,TRAPPIST-1e,26.0,False,66.0,29.0,0.0,0.0,803.0,0,F,56,P
0263_01,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,1,G,43,P
0265_01,Europa,True,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,,0.0,1,D,8,S
0267_01,Earth,False,TRAPPIST-1e,13.0,False,118.0,0.0,0.0,754.0,1.0,0,F,51,S
0269_01,Earth,False,55 Cancri e,47.0,False,0.0,231.0,592.0,0.0,0.0,1,F,52,S
0270_01,Earth,False,TRAPPIST-1e,63.0,False,0.0,25.0,128.0,0.0,1240.0,0,F,59,P
0275_01,Europa,True,55 Cancri e,,False,0.0,0.0,0.0,0.0,0.0,1,D,9,S
0277_01,Earth,False,55 Cancri e,50.0,False,44.0,2390.0,0.0,53.0,0.0,1,F,61,P
0278_01,Earth,False,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,888.0,,0,,,
0278_02,Earth,False,TRAPPIST-1e,45.0,False,0.0,97.0,0.0,14.0,333.0,0,G,45,P
0281_01,Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,2078.0,0.0,0.0,1,F,63,P
0282_01,Earth,False,TRAPPIST-1e,21.0,False,0.0,918.0,0.0,0.0,0.0,1,F,54,S
0283_01,Earth,True,PSO J318.5-22,29.0,False,0.0,0.0,0.0,0.0,0.0,1,G,46,P
0283_02,Earth,False,TRAPPIST-1e,22.0,False,146.0,654.0,1.0,0.0,2.0,1,F,64,P
0285_01,Europa,True,TRAPPIST-1e,14.0,False,0.0,0.0,0.0,0.0,0.0,1,E,16,P
0285_02,Europa,True,55 Cancri e,42.0,False,0.0,0.0,0.0,0.0,0.0,1,E,16,P
0286_01,Earth,False,55 Cancri e,57.0,False,3.0,1281.0,29.0,162.0,13.0,0,F,65,P
0287_02,Europa,False,TRAPPIST-1e,28.0,False,0.0,587.0,32.0,6.0,1460.0,0,B,12,P
0288_01,Earth,False,55 Cancri e,19.0,False,0.0,0.0,0.0,0.0,828.0,0,F,55,S
0289_01,Europa,True,55 Cancri e,19.0,False,0.0,0.0,0.0,0.0,0.0,1,C,12,S
0290_01,Europa,False,55 Cancri e,26.0,False,0.0,4458.0,0.0,1157.0,262.0,1,B,7,S
0290_03,Europa,,TRAPPIST-1e,43.0,False,0.0,0.0,0.0,0.0,0.0,1,B,7,S
0291_01,Europa,False,TRAPPIST-1e,40.0,False,0.0,6500.0,88.0,1090.0,0.0,1,D,10,S
0294_01,Europa,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,,0.0,1,B,8,S
0297_01,Earth,False,TRAPPIST-1e,24.0,False,90.0,2.0,1324.0,17.0,0.0,1,G,47,P
0298_01,Europa,True,55 Cancri e,57.0,False,0.0,0.0,0.0,0.0,0.0,1,A,3,P
0302_01,Earth,False,TRAPPIST-1e,23.0,False,0.0,0.0,15.0,0.0,1370.0,0,F,67,P
0304_01,Europa,False,TRAPPIST-1e,28.0,False,0.0,422.0,0.0,1851.0,5166.0,0,E,18,S
0305_01,Europa,False,55 Cancri e,23.0,False,0.0,584.0,0.0,20.0,2469.0,0,C,7,P
0306_01,Earth,False,TRAPPIST-1e,23.0,False,368.0,175.0,259.0,1.0,101.0,0,E,19,S
0307_01,Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,1359.0,0.0,0.0,1,F,59,S
0309_01,Earth,False,TRAPPIST-1e,18.0,False,1194.0,0.0,157.0,6.0,0.0,0,F,60,S
0310_01,Europa,False,TRAPPIST-1e,67.0,False,,230.0,0.0,4476.0,241.0,0,,,
0313_01,Earth,False,PSO J318.5-22,60.0,False,7.0,540.0,1.0,0.0,4.0,1,F,68,P
0313_02,Earth,True,55 Cancri e,,False,0.0,0.0,,0.0,0.0,1,G,50,P
0313_03,Earth,False,55 Cancri e,49.0,False,331.0,0.0,0.0,318.0,0.0,1,F,68,P
0314_01,Earth,False,55 Cancri e,26.0,False,386.0,0.0,74.0,0.0,1330.0,0,G,51,P
0315_01,,True,PSO J318.5-22,35.0,False,0.0,0.0,0.0,0.0,0.0,1,G,42,S
0316_01,Europa,False,TRAPPIST-1e,24.0,False,0.0,2628.0,,170.0,0.0,1,B,9,S
0316_02,Europa,True,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,,1,B,9,S
0320_01,Earth,False,TRAPPIST-1e,18.0,False,0.0,2.0,0.0,,0.0,0,G,44,S
0320_02,Earth,False,TRAPPIST-1e,21.0,False,0.0,5.0,3.0,0.0,,0,G,44,S
0321_01,,False,TRAPPIST-1e,59.0,True,1018.0,0.0,209.0,0.0,0.0,0,F,61,S
0322_01,Earth,True,PSO J318.5-22,13.0,False,0.0,0.0,0.0,0.0,0.0,0,G,45,S
0324_01,Earth,True,55 Cancri e,43.0,False,0.0,0.0,0.0,0.0,0.0,0,G,53,P
0326_01,Earth,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,0,G,47,S
0327_01,Earth,False,TRAPPIST-1e,19.0,False,17.0,0.0,784.0,0.0,2.0,1,,,
0330_01,Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,C,14,S
0330_02,Europa,False,TRAPPIST-1e,32.0,False,247.0,4651.0,0.0,46.0,202.0,1,C,14,S
0330_03,Europa,False,TRAPPIST-1e,33.0,False,443.0,317.0,0.0,148.0,1260.0,0,C,14,S
0331_01,Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,251.0,0.0,552.0,0,F,72,P
0333_01,Mars,True,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,1,F,73,P
